13,34,39,22,14,44,39,33,23,36,3
17,40,27,21,22,41,25,32,30,24,3
18,48,46,25,18,43,20,28,35,28,3
9,19,23,19,17,12,34,24,45,16,3
18,55,32,24,20,54,23,23,41,18,3
19,65,33,26,15,59,24,20,41,17,3
23,72,34,29,21,46,22,22,68,29,3
22,47,31,23,15,52,15,17,26,29,3
21,61,22,26,22,44,24,15,68,24,3
11,22,17,25,18,18,26,21,40,20,3
27,63,32,31,29,53,29,22,63,28,3
22,45,39,18,14,48,12,21,31,27,3
21,42,49,26,12,31,42,26,38,26,3
24,57,33,29,14,29,25,24,41,32,3
9,43,29,24,24,37,38,21,35,33,3
17,60,24,21,17,47,21,23,50,19,3
27,81,23,22,12,54,16,27,59,27,3
20,78,34,25,13,73,26,11,47,21,3
37,55,43,35,15,48,28,21,53,34,3
41,61,46,26,9,52,33,16,51,32,3
35,67,36,30,13,33,26,19,44,29,3
23,60,31,34,19,60,27,31,37,27,3
24,57,31,34,17,32,30,25,44,37,3
10,45,45,22,22,35,25,13,23,29,3
20,69,28,33,16,33,32,17,52,31,3
13,30,23,19,23,36,25,23,27,25,3
13,44,30,20,28,34,34,22,33,22,3
38,51,41,20,13,40,26,26,43,29,3
34,65,37,30,15,36,35,19,55,33,3
10,29,20,21,21,22,34,22,56,30,3
12,25,15,14,19,22,30,20,52,29,3
18,56,36,32,13,34,24,21,40,22,3
6,24,19,32,21,16,26,23,38,23,3
24,64,30,27,10,38,29,18,47,33,3
25,67,30,23,15,43,24,16,60,26,3
14,37,27,17,15,31,37,32,36,27,3
19,91,26,37,15,38,28,20,64,37,3
13,48,29,25,16,35,23,24,48,22,3
12,55,38,19,14,51,29,20,51,38,3
20,57,36,22,11,56,15,26,29,23,3
16,81,28,44,21,30,30,18,61,35,3
21,61,39,15,25,43,13,14,30,19,3
15,25,20,19,21,14,21,22,45,29,3
35,51,63,26,16,43,30,18,40,34,3
12,47,40,14,24,31,37,23,34,20,3
27,64,39,35,20,55,24,28,54,29,3
17,47,40,22,23,44,13,27,39,28,3
25,45,31,27,9,23,27,24,39,30,3
9,47,44,22,18,35,28,20,27,21,3
19,45,36,22,17,38,37,26,27,30,3
